あんたらこんなとこに居ったらあかんで。	あんたらこんなとこにいったらあかんで。
そんなんゆうてへんやん。	そんなんゆうてへんやん。
あんたほんまええかげんにしぃや、そのうちバチ当たんで。	あんたほんまええかげんにしぃや、そのうちばちあたんで。
どっちゃなってもほんねんからどっちゃでもええがな。	どっちゃなってもほんねんからどっちゃでもええがな。
友達に聞いといで。	ともだちにきいといで。
ええてええて、おっちゃんがやっといたるから任しとき、出世払いや。	ええてええて、おっちゃんがやっといたるからまかしとき、しゅっせばらいや。
ぼちぼち行かんなんなぁ。	ぼちぼちいかんなんなぁ。
せやせや、冷蔵庫に菜っ葉の炊いたんもあんで。	せやせや、れえぞおこになっぱなのたいたんもあんで。
あんたそれ破いたらあかんで。	あんたそれやぶいたらあかんで。
あんたもうほんまええかげんにしぃや！	あんたもおほんまええかげんにしいや！
たいがいにせえよ。	たいがいにせえよ。
どっか行くんやったら行きしなにこれポスト入れといて。	どっかいくんやったらいきしなにこれぽすといれといて。
えらいええもん用意してもうて、ほんならせっかくやから呼ばれるわ。	えらいええもんよおいしてもおて、ほんならせっかくやからよばれるわ。
先呼ばれさしてもうたよ。	さきよばれさしてもおたよ。
おおきに、ごちそうさん。	おおきに、ごちそおさん。
おつけもんもあんで、食べたらわ？	おつけもんもあんで、たべたらわ？
えらいようけあんなあ、えげつな。	えらいよおけあんなあ、えげつな。
なんやなんや、なんやえらいけったいなかっこしてんなぁ。	なんやなんや、なんやえらいけったいなかっこしてんなあ。
あかんあかん、そんな上も下も一緒くたにせんといて！	あかんあかん、そんなうえもしたもいっしょくたにせんといて！
うわほんま自分最悪やな、ようそんなえげつないことするわ。	うわほんまじぶんさいあくやな、よおそんなえげつないことするわ。
よおさんはっとると思ったんに、えらいはっとるのすけないやんけ。	よおさんわっとるとおもったんに、えらいわっとるのすけないやんけ。
せやでか、せやでこんなチビっとしかはっとらんのか。	せやでか、せやでこんなちびっとしかはっとらんのか。
水でうめたったらええんとちゃうの。	みずでうめたったらええんとちゃうの。
貼ったばっかやで、いごかしたらんようにな。	はったばっかやで、いごかしたらんよおにな。
あかんっちゅうたやんけえ。	あかんっちゅうたやんけえ。
わりゃいてこましたろか。	わりゃいてこましたろか。
さらのやつやのに、触んりょったらわやにしてもうた。	さらのやつやのに、さわんりょったらわやにしてもおた。
そんなむちゃくちゃいろたったらあかんわい。	そんなむちゃくちゃいろたったらあかんわい。
そこのどんつきにあるカゴへなおしたってくれんかい？	そこのどんつきにあるかごへなおしたってくれんかい？
やめたれさ、あんまりしたらまくれてくで。	やめたれさ、あんまりしたらまくれてくで。
どもならんで、まぁこれでよしにしよか。	どもならんで、まぁこれでよしにしよか。
言うたら言うた時間に来やんかいあほんだらあ。	いうたらいうたじかんにこやんかいあほんだらあ。
またどやされんでえ。	またどやされんでえ。
昨日テレビ見いよったけど、あんまおもんなかったで。	きのおてれびみいよったけど、あんまおもんなかったで。
おもっしょないやつらぁ見やへんよ。	おもっしょないやつらあみやへんよ。
またなんかよおさん持ってきはったでぇ？	またなんかよおさんもってきはったでえ？
使わんのやったらなおしときい。	つかわんのやったらなおしときい。
あんた刺身あめてまうで食うてまいい。	あんたさしみあめてまうでくうてまいい。
あそこは車つむでなぁ。	あそこわくるまつむでなぁ。
ちゅうちゅうたこかいな、あい、ちょっきし。	ちゅうちゅうたこかいな、あい、ちょっきし。
水道凍ってもうた、水でやへん。	すいどおこおってもおた、みずでやへん。
なんべんやってもでえへんのやわ。	なんべんやってもでえへんのやわ。
邪魔や邪魔、のかんかい。	じゃまやじゃま、のかんかい。
なおさへんのやったらほったるでえ。	なおさへんのやったらほったるでえ。
きんのうテレビ見ぃよったらさ、どえらい事故のニュースしとったで。	きんのおてれびみいよったらさ、どえらいじこのにゅうすしとったで。
いっぺんに食うたらえづくで。	いっぺんにくうたらえづくで。
あいつそんなこと言わなんだと思うけどなぁ。	あいつそんなこといわなんだとおもうけどなぁ。
さかむけのかさぶたはいろたらあかんで、なおらんで。	さかむけのかさぶたはいろたらあかんで、なおらんで。
まぁかいごおあくんにゃあ。	まあかいごおあくんにゃあ。
ほな、あんじょうよろしゅうな。	ほな、あんじょうよろしゅうな。
この道ズーッと行って左へクッっと曲がったらすぐよ。	このみちずうっといってひだりへくっっとまがったらすぐよ。
なんかさっきビューッて行ってもうたで。	なんかさっきびゅうっていってもおたで。
あんただいぶシュッとしたな。	あんただいぶしゅっとしたな。
これシュッってしたらシャンとなるでさ。	これしゅってしたらしゃんとなるでさ。
あいつにだっきゃ言われとうないがな。	あいつにだっきゃいわれとおないがな。
みてみぃ、池に鯉が泳んぎょるよ。	みてみぃ、いけにこいがおよんぎょるよ。
なにぃ、そないぎょおさんもろてきたん。	なにい、そないぎょおさんもろてきたん。
どないやろなぁ、今日日そんな店もあらへんでなぁ。	どないやろなぁ、きょおびそんなみせもあらへんでなぁ。
ほいだら、またよろしゅうたのんます。	ほいだら、またよろしゅうたのんます。
いつものあれ買うてこよかと思ったんやけどなぁ、なかってん。	いつものあれかうてこよかとおもったんやけどなぁ、なかってん。
なんでそんなずぼらなことしはるん？	なんでそんなずぼらなことしはるん？
あいつほんまどもならんやっちゃな。	あいつほんまどもならんやっちゃな。
そんな燃えるようなもんストーブのねきらぁにおいたらあかんやんか。	そんなもえるよおなもんすとおぶのねきらあにおいたらあかんやんか。
朝の国道は空いとるでスーッて行けるでさ。	あさのこくどおわすいとるですうっていけるでさ。
ほやさかい、あんたなっとらんって言われるんさぁ。	ほやさかい、あんたなっとらんっていわれるんさぁ。
あんたも大概ねちこいやっちゃなぁ。	あんたもたいがいねちこいやっちゃなぁ。
そんなほたえるからやに。	そんなほたえるからやに。
もうギチギチいっぱいまで入っとるで。	もおぎちぎちいっぱいまではいっとるで。
答え合わせしとらんで、合うとるかどうかわからへん。	こたえあわせしとらんで、あうとるかどおかわからへん。
牛乳飲んどるときにわらかしてくんな。	ぎゅうにゅうのんどるときにわらかしてくんな。
なんでぇ、宿題でとらへんで単位出さへんよ。	なんでえ、しゅくだいでとらへんでたんいださへんよ。
ドラマいっつも見とるけど、先週分だけ見逃してもた。	どらまいっつもみとるけど、せんしゅうぶんだけみのがしてもた。
毎度のことでタバコ咥えて原チャ乗っててん、あほやあいつ。	まいどのことでたばこくわえてげんちゃのっててん、あほやあいつ。
あの人そんなことしてはるの？	あのひとそんなことしてはるの？
さっき言うとらん言うたやないか、なんや違うんかい。	さっきゆうとらんゆうたやないか、なんやちがうんかい。
弁当ガーッと掻き込んで、チャッチャと仕事に戻らんかい。	べんとおがあっとかきこんで、ちゃっちゃとしごとにもどらんかい。
なんでそないモタモタしたはるのん？	なんでそないもたもたしたはるのん？
あんたがシャンとしとれば、こんなんせんでもよかったんやけどなぁ。	あんたがしゃんとしとれば、こんなんせんでもよかったんやけどなあ。
あんな遠いとこ行っきょるん？	あんなとおいとこいっきょるん？
こやへんとは言わへんけどな？	こやへんとわいわへんけどな？
病み上がりやでな、気張るけども、べべたでも堪忍してくれい？	やみあがりやでな、きばるけども、べべたでもたんしんしてくれい？
折角誘いに来ったのになんや、あいつおらんのか。	おりかごむにきたのになんや、あいつおらんのか。
部品出やんでよおしやんとか言うてきたもんで、もぉごおわいてきてどやしたったわ。	ぶひんだしやんでよおしやんとかいてきたもんで、もぉごおわいてきてどやしたったわ。
これ使こてまうけど、ええかい？	これつかこてまうけど、ええかい？
あかんやん無いなるやん。	あかんやんないなるやん。
買うてくれるんやったらええけど。	かうてくれるんやったらええけど。
えらいよおけ入れたな、溶けやんととごっとるで。	えらいよおけいれたな、とけやんととごっとるで。
そんなことばっかしぃよったら、またふてたるで？	そんなことばっかしいよったら、またふてたるで？
まぁかい、ごおわいてきてな。	まあかい、ごおわいてきてな。
うちきたらゲームさしたるよ。	うちきたらげえむさしたるよ。
時間なってもバスけえへんやんけ。	じかんなってもばすけえへんやんけ。
ちゃあうちゃあう、そんなことしやへんよ。	ちゃあうちゃあう、そんなことしやへんよ。
のかしてくれるのはええけど、ほかさんといてな。	のかしてくれるのわええけど、ほかさんといてな。
あいつちゃらんぽらんやで、誰かおらんと機械しもたるで。	あいつちゃらんぽらんやで、だれかおらんときかいかいしもたるで。
端っからできやんようにしとってん。	はなっからできやんよおにしとってん。
うちはかまんよ、好きにさしたれさ。	うちわかまんよ、すきにさしたれさ。
あんたそんな重たいもんやめときぃ、腰しまうで。	あんたそんなおもたいもんやめときい、こししまうで。
