えっ、うっせやん。	えっうせやん。
元々なんぼか川があってな、そん中の渓谷から出た氷河が一本に合流しててん。	もともとなんぼかかわがあってな、そんなかのけえこくからでたひょおががいっぽんにごおりゅうしててん。
今回の資料作りはめっちゃよぉ考えなあかんかったけど、こないだやっと終わった。	こんかいのしりょおづくりわめっちゃよおかんがえなあかんかったけど、こないだやっとおわった。
うどん屋の窯やないんやからまともなことの一つでも言うたらどうや。	うどんやのかまやないんやからまともなことのひとつでもゆうたらどおや。
あいつら幕のあいだに木戸の外散歩しとんねん。	あいつらまくのあいだにきどのそとおさんぽしとんねん。
買うた人はポンプを直したらなあかんって事に気ぃついた。	こおにゅうしゃわぽんぷのしゅうりおせなあかんってことにきいついた。
あの子自身は、レジ業務をしぃたいと思とるみたいやで。	あのこじしんわ、れじぎょおむおしいたいとおもとるみたいやで。
地毛は金色なんや。	じげわきんいろなんや。
鉛筆は折れやすぅてかなんわ。	えんぴつわおれやすうてかなんわ。
ヒポクラテスは医学の父いうて呼ばれとります。	ひぽくらてすわいがくのちちゆうてよばれとります。
せやけど商人は、国ざかいのすぐ近くへ住みよって、やっぱり前と同じようにやりよる。	せやけどしょおにんわ、くにざかいのすぐちかくえすみよって、やっぱりまえとおなじよおにやりよる。
今まで明るかった二階の窓は、いきなりまっくらになってもうた。	いままであかるかったにかいのまどわ、いきなりまっくらになってもおた。
アスファルトに囲まれた中にケヤキの木ぃが一本。	あすふぁるとにかこまれたなかにけやきのきいがいっぽん。
マッチョな男性はモテるらしいで。	まっちょなだんせえわもてるらしいで。
社務所の人が言うとったんは嘘やあらへんかった。	しゃむしょのひとのはなしにうそわあらへんかった。
行楽シーズンの京都は人でごった返しとる。	こおらくしいずんのきょおとわひとでごったがえしとる。
どっからかパチパチと音が聞こえる。	どっからかぱちぱちとおとがきこえる。
プロ野球はどのチームが優勝するやろか？	ぷろやきゅうわどのちいむがゆうしょおするやろか？
せやけど、これやったらまるで私が誘拐しましたと自首して出るようなもんで、そんなアホなことをするやつはおらへん。	せやけど、これやったらまるでわたしがゆうかいしましたとじしゅしてでるよおなもんで、そんなあほなことおするやつはおらへん。
切望しぃつつ、主を待っとる。	せつぼうしいつつ、あるじおまっとる。
しばらくしたらパチパチっちゅう音もないなった。	しばらくしてぱちぱちというおともないなった。
天を翔ける竜の姿は神秘的や。	てんおかけるりゅうのすがたわしんぴてきや。
私の精神と一脈相通じるものがあると思た。	わたしのせえしんといちみゃくあいつうじるものがあるとおもた。
皆も球場に行こ。	みんなもきゅうじょおにいこ。
コペルニクスはポーランドの天文学者や。	こぺるにくすわぽおらんどのてんもんがくしゃや。
海沿いの旅館は眺めがええ。	うみぞいのりょかんわながめがええ。
集中しとると周りが見えへんのねん。	しゅうちゅうするとまわりがみえへんのねん。
春木座は今日の本郷座や。	はるきざわこんにちのほんごおざや。
私の手ぇを引っ張るようにして、手のひらへくれよった。	わたしのてえおひっぱるよおにして、てのひらえくれよった。
北海の荒波は、その氷の絶壁の根を噛んで、激しく飛沫を散らしとる。	ほっかいのあらなみわ、そのこおりのぜっぺきのねおかんで、はげしくしぶきおちらしとる。
戦意を喪失させるんが勝利への近道。	せんいおそおしつさせるんがしょおりえのちかみち。
茶碗にかかってまうくらい、シャツの袖がふくらかやから、掻き抱く体に茶碗を持った。	ちゃわんにかかるほど、しゃつのそでがふくらかやから、かきいだくてえにちゃわんおもった。
色々隠して今日まで犯人と一緒におる。	いろいろかくしてきょおまではんにんといっしょにおる。
兄がはみごにされた。	あにがはみごにされた。
パチモンばっかとちごて、ほんまもんのドイツ将校やら兵卒のヘルメットを売っとるのもあるんやわ。	ぱちもんばっかとちごて、ほんもののどいつしょおこおやらへえそつのへるめっとおうっとるのもあるんやわ。
彼女と一緒におるとほっこりする。	かのじょといっしょにおるとほっこりする。
困っとる人に向けて寄付をしたった。	こまっとるひとにむけてきふおしたった。
落ち込んどるんか、うつむいてじっとしとる。	おちこんどるんか、うつむいてじっとしとる。
改良が進むとパンはどんどんおいしなる。	かいりょおがすすむとぱんわどんどんおいしなる。
こないなことを言いもって、いらちなおじいさんは下駄を突っかけて、そそくさと出てってしもた。	こないなことおいいもって、いらちなおじいさんわげたおつっかけて、そそくさとでてってしもた。
おんなじ東京の名をよぶにも、今後はおそらく旧東京と新東京とに区別されるやろう。	おんなじとおきょおのなおよぶにも、こんごわおそらくきゅうとおきょおとしんとおきょおとにくべつされるやろお。
腰抜けはどっかいってもうた。	こしぬけわどっかいってもおた。
ストレスは適度に発散したらなあかんよ。	すとれすわてきどにはっさんしましょお。
これがないと始まらへんでなぁ。	このひとよりぞはじまりける。
中学生ん時、避暑旅行中に体調を崩した。	ちゅうがくせえんとき、ひしょりょこおちゅうにたいちょおおくずした。
一日中明るい白夜は、一切太陽が沈まへんことで起こります。	いちにちちゅうあかるいはびゃくやわ、いっさいたいよおがしずまへんことでおこります。
もう、あんたにばかりも精一杯、誰にも見せられます体やないんです。	もお、あんたにばかりもせえいっぱい、だれにもみせられますからだやないんです。
なんやそら、話にならへんわ。	なんやそら、はなしにならへんわ。
排球はバレーボールの事や。	はいきゅうわばれえぼおるのことや。
マッチを買いに入ったんかな。	まっちおかいにはいったんかな。
やがて陪審員は合議をするために法廷を出てった。	やがてばいしんいんわごおぎおするためにほおてえおでてった。
あっあの。いっいえ。えっえぇ。おっおい。んーとなぁ。	あっあの。いっいえ。えっえぇ。おっおい。んんとなぁ。
服を脱ぐけど、いっつも上下がひっくり返っとる。	ふくおぬぐけど、いっつもじょおげがひっくりかえっとる。
モゴモゴしながら言うてもギャグはおもんないねん。	もごもごしながらいうぎゃぐわおもんないねん。
海水魚の漁業の一環として、稚魚が育てられとる。	かいすいぎょのぎょぎょおのいっかんとして、ちぎょがそだてられとる。
ムンムンとした熱気に、あの淡水魚もへとへとになっとる。	むんむんとしたねっきに、あのたんすいぎょもへとへとになっとる。
ヘスティア所長は、十二音音楽の作法を知っとる。	へすてぃあしょちょおわ、じゅうにおんおんがくのさほおおしっとる。
主催のやつは、このフェスはあんま人が入らへんことを、セシルから聞いた。	しゅさいしゃわ、このふぇすわあんまはいらへんことお、せしるからきいた。
おかんは、サフランライスと、さつまいもの入ったシチューと、ポトフをハフハフしながら食べた。	おかんわ、さふらんらいすと、さつまいものはいったしちゅうと、ぽとふおはふはふしながらたべた。
そして、左京と千紗はヘファ駅へ着いた。	そして、さきょおとちさわへふぁえきえついた。
ケケっと笑いながら、津原はパトカーへ乗った。	けけっとわらいながら、つわらわぱとかあえのった。
ティファニーはパピーにムギュッと抱き着きながら、チュチュッとキスをし、センキュと言うた。	てぃふぁにいわぱぴいにむぎゅっとだきつきながら、ちゅちゅっときすおし、せんきゅというた。
補佐が、一酸化炭素中毒になるっちゅうハプニングは起きへんかった。	ほさが、いっさんかたんそちゅうどくになるっちゅうはぷにんぐわおきへんかった。
カフェとは、ブレックファストとして、フォカッチャを食える場所でもある。	かふぇとわ、ぶれっくふぁすととして、ふぉかっちゃおくえるばしょでもある。
普通、初級者やと、高音を伸ばすやつはできへん。	ふつう、しょきゅうしゃやと、こおおんおのばすやつわできへん。
彼からしたら、左中間から見る景色は貴重やった。	かれからしたら、さちゅうかんからみるけしきわきちょおやった。
シェパードと同居しとるときに、フォスターはその格付け表を見た。	しぇぱあどとどおきょしとるときに、ふぉすたあわそのかくづけひょおおみた。
脚立の上でヒュヒューと風が吹くと、彼は背筋をシャンとした。	きゃたつのうえでひゅひゅうとかぜがふくと、かれわせすじおしゃんとした。
ケフィアのことをいうとるこの本は、初版やと三百部くらいやったけど、次からだんだんと増えてった。	けふぃあのことおゆうとるこのほんわ、しょはんやとさんひゃくぶくらいやったけど、つぎからだんだんとふえてった。
皮膚が私のフェチや。	ひふがわたしのふぇちや。
社販で巨富を築くっちゅう、彼の目論見は途中でへし折られた。	しゃはんできょふおきずくっちゅう、かれのもくろみわとちゅうでへしおられた。
左表のとおりの支出になるんが、ある意味うちの社風ちゅうやつやな。	さひょおのとおりのししゅつになるんが、あるいみうちのしゃふうちゅうやつやな。
この古風な酒瓢は故郷のもんや。	このこふうなしゅひょおわこきょおのもんや。
そのほつれが腐敗しとるいうんは、誇張した表現やと思う。	そのほつれがふはいしとるゆうんわ、こちょおしたひょおげんやとおもう。
その映画に出とる彼が、主犯である可能性はフィフティーフィフティーってやつや。	そのえいがにでとるかれが、しゅはんであるかのおせえわふぃふてぃいふぃふてぃいってやつや。
チュクンの波長は、パツンと一緒や。	ちゅくんのはちょおわ、ぱつんといっしょや。
