女の子がキッキッ嬉しそうや。	おんなのこがきっきっうれしそおや。
もう、あんたにばかりも精一杯、誰にも見せられます体やないんです。	もお、あんたにばかりもせえいっぱい、だれにもみせられますからだやないんです。
みんな揃って海に飛び込んだ。	みんなそろってうみにとびこんだ。
なんやそら、話にならへんわ。	なんやそら、はなしにならへんわ。
腸チフスは怖い病気。	ちょおちふすわこわいびょおき。
排球はバレーボールの事や。	はいきゅうわばれえぼおるのことや。
マッチを買いに入ったんかな。	まっちおかいにはいったんかな。
盆栽は風情がある。	ぼんさいわふぜいがある。
やがて陪審員は合議をするために法廷を出てった。	やがてばいしんいんわごおぎおするためにほおてえおでてった。
芸術の求める永遠性に疑問を感じる。	げえじゅつのもとめるえいえんせえにぎもんおかんじる。
聞きつけて、件の嫗、ぶるぶるとかぶりをふった。	ききつけて、くだんのおうな、ぶるぶるとかぶりおふった。
キェルツェを通ってドビェに、ザリピェからミェイに行く。	きぇるつぇおとおってどびぇに、ざりぴぇからみぇいにいく。
マリアーンスケー・ラーズニェを訪れる。	まりああんすけえ・らあずにぇおおとずれる。
乳牛を見ながら、レテュの入ったピッツァを食べる。	にゅうぎゅうおみながら、れてゅのはいったぴっつぁおたべる。
ウドゥの奏者を施療した。	うどぅのそおしゃおせりょおした。
インスティテュートで、リデュースの話と併せて、ルデュックの話も聞いた。	いんすてぃてゅうとで、りでゅうすのはなしとあわせて、るでゅっくのはなしもきいた。
ギェナーを見てイェーイと叫ぶ。	ぎぇなあおみていぇえいとさけぶ。
スィーディーを聞きながら、でゃーこんを食べる。	すぃいでぃいおききながら、でゃあこんおたべる。
テョさんはズィーブラを見た。	てょさんわずぃいぶらおみた。
レヴォリューション。レギュレーション。エデュケーション。	れヴぉりゅうしょん。れぎゅれうしょん。えでゅけえしょん。
ブレンドデョート。ラーテャン。	ぶれんどでょおと。らあてゃん。
あっあの。いっいえ。えっえぇ。おっおい。んーとなぁ。	あっあの。いっいえ。えっえぇ。おっおい。んんとなぁ。
いぶかしげに見上げた雨雲から、琥珀色のドラゴンがギュンと現れた。	いぶかしげにみあげたあまぐもから、こはくいろのどらごんがぎゅんとあらわれた。
布でギュギュっとヌンチャクを縛る。	ぬのでぎゅぎゅっとぬんちゃくおしばる。
服を脱ぐけど、いっつも上下がひっくり返っとる。	ふくおぬぐけど、いっつもじょおげがひっくりかえっとる。
放課後の音楽室で、高音を頑張って出した。	ほおかごのおんがくしつで、こおおんおがんばってだした。
モゴモゴしながら言うてもギャグはおもんないねん。	もごもごしながらいうぎゃぐわおもんないねん。
海水魚の漁業の一環として、稚魚が育てられとる。	かいすいぎょのぎょぎょおのいっかんとして、ちぎょがそだてられとる。
ムンムンとした熱気に、あの淡水魚もへとへとになっとる。	むんむんとしたねっきに、あのたんすいぎょもへとへとになっとる。
ヘスティア所長は、十二音音楽の作法を知っとる。	へすてぃあしょちょおわ、じゅうにおんおんがくのさほおおしっとる。
主催のやつは、このフェスはあんま人が入らへんことを、セシルから聞いた。	しゅさいしゃわ、このふぇすわあんまはいらへんことお、せしるからきいた。
おかんは、サフランライスと、さつまいもの入ったシチューと、ポトフをハフハフしながら食べた。	おかんわ、さふらんらいすと、さつまいものはいったしちゅうと、ぽとふおはふはふしながらたべた。
そして、左京と千紗はヘファ駅へ着いた。	そして、さきょおとちさわへふぁえきえついた。
根本と曽原は主君を批判した。	ねもととそはらわしゅくんおひはんした。
ケケっと笑いながら、津原はパトカーへ乗った。	けけっとわらいながら、つわらわぱとかあえのった。
キュキュッと鳴らした靴でパスを出した。	きゅきゅっとならしたくつでぱすおだした。
ティファニーはパピーにムギュッと抱き着きながら、チュチュッとキスをし、センキュと言うた。	てぃふぁにいわぱぴいにむぎゅっとだきつきながら、ちゅちゅっときすおし、せんきゅというた。
その義軍は、一ヘクタールほふく前進をした。	そのぎぐんわ、いちへくたあるほふくぜんしんおした。
へへっと、きゃつは媚びへつらった。	へへっと、きゃつわこびへつらった。
ほとんどの被調査者は、写真を車載した。	ほとんどのひちょおさしゃわ、しゃしんおしゃさいした。
補佐が、一酸化炭素中毒になるっちゅうハプニングは起きへんかった。	ほさが、いっさんかたんそちゅうどくになるっちゅうはぷにんぐわおきへんかった。
スチューデントが被災するファクターを、可能な限り取り払う。	すちゅうでんとがひさいするふぁくたあお、かのおなかぎりとりはらう。
カフェとは、ブレックファストとして、フォカッチャを食える場所でもある。	かふぇとわ、ぶれっくふぁすととして、ふぉかっちゃおくえるばしょでもある。
普通、初級者やと、高音を伸ばすやつはできへん。	ふつう、しょきゅうしゃやと、こおおんおのばすやつわできへん。
彼からしたら、左中間から見る景色は貴重やった。	かれからしたら、さちゅうかんからみるけしきわきちょおやった。
シェパードと同居しとるときに、フォスターはその格付け表を見た。	しぇぱあどとどおきょしとるときに、ふぉすたあわそのかくづけひょおおみた。
去々年、虚数とヘ長調について学んだ。	きょきょねん、きょすうとへちょおちょおについてまなんだ。
脚立の上でヒュヒューと風が吹くと、彼は背筋をシャンとした。	きゃたつのうえでひゅひゅうとかぜがふくと、かれわせすじおしゃんとした。
昼にはペスカトーレを、夜には寿司をパクパク食べた。	ひるにわぺすかとおれお、よるにわすしおぱくぱくたべた。
ケフィアのことをいうとるこの本は、初版やと三百部くらいやったけど、次からだんだんと増えてった。	けふぃあのことおゆうとるこのほんわ、しょはんやとさんひゃくぶくらいやったけど、つぎからだんだんとふえてった。
皮膚が私のフェチや。	ひふがわたしのふぇちや。
社販で巨富を築くっちゅう、彼の目論見は途中でへし折られた。	しゃはんできょふおきずくっちゅう、かれのもくろみわとちゅうでへしおられた。
左表のとおりの支出になるんが、ある意味うちの社風ちゅうやつやな。	さひょおのとおりのししゅつになるんが、あるいみうちのしゃふうちゅうやつやな。
この古風な酒瓢は故郷のもんや。	このこふうなしゅひょおわこきょおのもんや。
そのほつれが腐敗しとるいうんは、誇張した表現やと思う。	そのほつれがふはいしとるゆうんわ、こちょおしたひょおげんやとおもう。
その映画に出とる彼が、主犯である可能性はフィフティーフィフティーってやつや。	そのえいがにでとるかれが、しゅはんであるかのおせえわふぃふてぃいふぃふてぃいってやつや。
チュクンの波長は、パツンと一緒や。	ちゅくんのはちょおわ、ぱつんといっしょや。
